CONSTITUENCY,DISTRICT,LDF,UDF,NDA,NOTA,OTHERS,EVM VOTES,POSTAL VOTES,TOTAL VOTES,LEAD,WINNER,%LDF,%UDF,%NDA,%NOTA,%POSTAL,%LEAD
Kothamangalam,Ernakulam,64234,57629,4638,414,9782,132748,3949,136697,6605,LDF,46.9900583,42.15820391,3.392905477,0.302859609,2.888871007,4.831854393
Kunnathunadu,Ernakulam,52351,49636,7218,565,45154,151540,3384,154924,2715,LDF,33.7914074,32.03893522,4.659058635,0.364694947,2.184296817,1.75247218
Muvattupuzha,Ernakulam,58264,64425,7527,427,13711,140600,3754,144354,6161,UDF,40.36188814,44.62986824,5.214264932,0.295800601,2.600551422,4.267980104
Paravur,Ernakulam,60963,82264,12964,1113,1290,155316,3278,158594,21301,UDF,38.43966354,51.87081478,8.174331942,0.701791997,2.066912998,13.43115124
Perumbavoor,Ernakulam,50585,53484,15135,703,24264,140845,3326,144171,2899,UDF,35.08680664,37.09761325,10.49795035,0.487615401,2.30698268,2.010806612
Piravam,Ernakulam,59692,85056,11021,1109,1219,153535,4562,158097,25364,UDF,37.75656717,53.79988235,6.971036769,0.701468086,2.885570251,16.04331518
Thrikkakkara,Ernakulam,45510,59839,15483,695,15043,134398,2172,136570,14329,UDF,33.32357033,43.81562569,11.33704327,0.508896537,1.590393205,10.49205536
Thrippunithura,Ernakulam,64883,65875,23756,1099,694,155038,1269,156307,992,UDF,41.50997716,42.14462564,15.19829566,0.703103508,0.811863832,0.63464848
Vypin,Ernakulam,53858,45657,13540,525,17016,128169,2427,130596,8201,LDF,41.24016049,34.96048884,10.367852,0.402003124,1.858403014,6.279671659
Devikulam,Idukki,59049,51201,0,807,4717,114083,1691,115774,7848,LDF,51.00367958,44.22495552,0,0.697047696,1.460604281,6.778724066
Idukki,Idukki,62368,56795,9286,677,2225,128481,2870,131351,5573,LDF,47.48193771,43.23910743,7.069607388,0.515412901,2.184985268,4.242830279
Peerumedu,Idukki,60141,58306,7126,401,1317,125912,1379,127291,1835,LDF,47.24685956,45.80528081,5.598196259,0.3150262,1.083344463,1.441578745
Thodupuzha,Idukki,47236,67495,21263,674,2139,134167,4640,138807,20259,UDF,34.02998408,48.62506934,15.31839172,0.48556629,3.342770898,14.59508526
Udumbanchola,Idukki,77381,39076,7208,687,867,122803,2416,125219,38305,LDF,61.79653248,31.20612687,5.756314936,0.548638785,1.929419657,30.59040561
Dharmadam,Kannur,95522,45399,14623,400,4303,155212,5035,160247,50123,LDF,59.60922825,28.33063958,9.125287837,0.249614657,3.1420245,31.27858868
Irikkoor,Kannur,66754,76764,7825,459,714,147404,5112,152516,10010,UDF,43.76852265,50.33176847,5.130609248,0.300952031,3.351779485,6.563245823
Kalliassery,Kannur,88252,43859,11365,666,1443,141284,4301,145585,44393,LDF,60.61888244,30.12604321,7.806436103,0.457464711,2.954287873,30.49283923
Kannur,Kannur,60313,58568,11581,504,3123,130366,3723,134089,1745,LDF,44.97982683,43.67845237,8.636800931,0.375869758,2.776514106,1.30137446
Kuthuparamba,Kannur,70626,61085,21212,494,2292,151704,4005,155709,9541,LDF,45.35768645,39.23023075,13.62284775,0.317258476,2.572105659,6.127455703
Mattannur,Kannur,96129,35166,18223,796,4820,150574,4560,155134,60963,LDF,61.96513981,22.66814496,11.74661905,0.5131048,2.93939433,39.29699486
Payyannur,Kannur,93695,43915,11308,686,341,144667,5278,149945,49780,LDF,62.48624496,29.28740538,7.541431858,0.457501084,3.519957318,33.19883957
Peravoor,Kannur,63534,66706,9155,404,2339,138373,3765,142138,3172,UDF,44.69881383,46.93044787,6.440923609,0.284230818,2.648834232,2.231634046
Taliparamba,Kannur,92870,70181,13058,789,1214,172482,5630,178112,22689,LDF,52.14134926,39.40273536,7.331342077,0.442979698,3.160932447,12.73861391
Thalassery,Kannur,81810,45009,0,2313,3857,129505,3484,132989,36801,LDF,61.51636602,33.84415252,0,1.739241591,2.619765545,27.67221349
Azhikode,Kannur,65794,59653,15741,517,3192,141433,3464,144897,6141,LDF,45.40742734,41.16924436,10.86357896,0.356805179,2.390663713,4.238182985
Kanhangad,Kasargode,84615,57476,21570,637,2537,162510,4325,166835,27139,LDF,50.71777505,34.45080469,12.92894177,0.381814367,2.592381694,16.26697036
Kasargode,Kasargode,28323,63296,50395,639,1847,143031,1469,144500,12901,UDF,19.60069204,43.80346021,34.87543253,0.442214533,1.016608997,8.928027682
Manjeswaram,Kasargode,40639,65758,65013,387,629,170301,2125,172426,745,UDF,23.56895132,38.1369399,37.7048705,0.224444109,1.232412745,0.432069409
Trikkarippur,Kasargode,86151,60014,10961,558,2724,154533,5875,160408,26137,LDF,53.70742108,37.41334597,6.833200339,0.347862949,3.662535534,16.29407511
Uduma,Kasargode,78664,65342,20360,434,541,161785,3556,165341,13322,LDF,47.57682607,39.51953841,12.31394512,0.262487828,2.150706721,8.057287666
Chadayamangalam,Kollam,67252,53574,22238,685,3428,142285,4892,147177,13678,LDF,45.69463979,36.4010681,15.10969785,0.465425984,3.323888923,9.293571686
Chathannur,Kollam,59296,34280,42090,642,1195,133823,3680,137503,17206,LDF,43.12342276,24.93036516,30.61024123,0.466898904,2.676305244,12.51318153
Chavara,Kollam,63282,62186,14211,701,2500,138418,4462,142880,1096,LDF,44.29031355,43.52323628,9.946108623,0.490621501,3.122900336,0.767077268
Eravipuram,Kollam,71573,43452,8468,931,2817,124300,2941,127241,28121,LDF,56.24995088,34.14937009,6.65508759,0.731682398,2.311361904,22.10058079
Karunagapally,Kollam,65017,94225,12144,450,1448,168376,4908,173284,29208,UDF,37.5204866,54.37605318,7.008148473,0.259689296,2.83234459,16.85556658
Kollam,Kollam,58524,56452,14252,750,473,127155,3296,130451,2072,LDF,44.86282206,43.27448621,10.92517497,0.574928517,2.52661919,1.58833585
Kottarakkara,Kollam,68770,57956,21223,574,1029,145013,4539,149552,10814,LDF,45.98400556,38.75307585,14.1910506,0.383812988,3.035064727,7.23092971
Kundara,Kollam,71882,76405,6100,710,1304,152518,3883,156401,4523,UDF,45.96006419,48.85198944,3.900230817,0.453961292,2.482720699,2.891925243
Kunnathur,Kollam,69436,66646,21760,922,2220,155299,5685,160984,2790,LDF,43.13223674,41.39914526,13.51687124,0.572727724,3.531406848,1.733091487
Pathanapuram,Kollam,67276,52940,12398,474,3948,133075,3961,137036,14336,LDF,49.09366882,38.63218424,9.047257655,0.345894509,2.890481333,10.46148457
Punalur,Kollam,80428,43371,20069,688,1695,142770,3481,146251,37057,LDF,54.99312825,29.65518184,13.72229933,0.470424134,2.380154666,25.33794641
Changanasseri,Kottayam,55425,49366,14491,434,3869,120562,3023,123585,6059,LDF,44.84767569,39.94497714,11.72553303,0.351175304,2.446089736,4.902698548
Ettumanoor,Kottayam,58289,43986,13746,780,9366,122493,3674,126167,14303,LDF,46.19987794,34.86331608,10.8950835,0.618228221,2.912013443,11.33656186
Kaduthuruthy,Kottayam,55410,59666,11670,731,3934,127682,3729,131411,4256,UDF,42.16541994,45.40411381,8.880535115,0.556270023,2.837661992,3.238693869
Kanjirapally,Kottayam,60299,46596,29157,624,1027,134649,3054,137703,13703,LDF,43.78916944,33.83804274,21.17383064,0.453149169,2.217816605,9.9511267
Kottayam,Kottayam,46658,65401,8611,473,595,119837,1901,121738,18743,UDF,38.32657018,53.72274885,7.07338711,0.388539322,1.561550214,15.39617868
Pala,Kottayam,54426,69804,10869,604,2728,134122,4309,138431,15378,UDF,39.3163381,50.42512154,7.85156504,0.436318455,3.112742088,11.10878344
Poonjar,Kottayam,58668,34633,2965,345,43283,137032,2862,139894,24035,LDF,41.93746694,24.75660143,2.119461878,0.246615294,2.045834703,17.18086551
Puthupalli,Kottayam,54328,63372,11694,497,1906,128843,2954,131797,9044,UDF,41.22096861,48.08303679,8.872736102,0.377095078,2.241325675,6.862068181
Vaikom,Kottayam,71388,42266,11953,670,1299,124201,3375,127576,29122,LDF,55.95723334,33.13005581,9.369317113,0.525177149,2.645481909,22.82717753
Vadakara,Kozhikode,57602,65093,10225,353,3400,132822,3851,136673,7491,UDF,42.14585178,47.62681729,7.48136062,0.258280714,2.817674303,5.480965516
Balusseri,Kozhikode,91839,71467,16490,431,1727,175852,6102,181954,20372,LDF,50.47374611,39.2775097,9.062730141,0.236873056,3.353594865,11.19623641
Beypore,Kozhikode,82165,53418,26267,621,2739,162216,2994,165210,28747,LDF,49.7336723,32.33339386,15.89915865,0.375885237,1.812238969,17.40027843
Elathur,Kozhikode,83639,45137,32010,984,2580,158703,5647,164350,38502,LDF,50.89078187,27.46394889,19.4767265,0.598722239,3.435959842,23.42683298
