CONSTITUENCY,DISTRICT,LDF,UDF,NDA,NOTA,OTHERS,EVM VOTES,POSTAL VOTES,TOTAL VOTES,LEAD,WINNER,%LDF,%UDF,%NDA,%NOTA,%POSTAL,%LEAD
Kalliassery,Kannur,88252,43859,11365,666,1443,141284,4301,145585,44393,LDF,60.61888243981179,30.126043205000514,7.806436102620462,0.4574647113370196,2.9542878730638455,30.49283923481128
Kannur,Kannur,60313,58568,11581,504,3123,130366,3723,134089,1745,LDF,44.97982683143286,43.678452371186296,8.636800930725116,0.37586975814570917,2.7765141063025305,1.3013744602465527
Kuthuparamba,Kannur,70626,61085,21212,494,2292,151704,4005,155709,9541,LDF,45.35768645357686,39.230230750952096,13.622847748042824,0.3172584757464244,2.572105658632449,6.127455702624768
Mattannur,Kannur,96129,35166,18223,796,4820,150574,4560,155134,60963,LDF,61.96513981461188,22.668144958551963,11.746619051916408,0.5131047997215311,2.9393943300630423,39.296994856059925
Payyannur,Kannur,93695,43915,11308,686,341,144667,5278,149945,49780,LDF,62.48624495648405,29.287405381973393,7.54143185834806,0.4575010837307013,3.5199573176831507,33.19883957451065
Peravoor,Kannur,63534,66706,9155,404,2339,138373,3765,142138,3172,UDF,44.69881382881425,46.93044787460074,6.440923609449971,0.2842308179374974,2.648834231521479,2.2316340457864894
Taliparamba,Kannur,92870,70181,13058,789,1214,172482,5630,178112,22689,LDF,52.14134926338484,39.402735357527845,7.331342076895436,0.44297969816744526,3.1609324469996403,12.738613905856988
Thalassery,Kannur,81810,45009,0,2313,3857,129505,3484,132989,36801,LDF,61.51636601523435,33.84415252389295,0.0,1.739241591409816,2.6197655445187196,27.67221349134139
Azhikode,Kannur,65794,59653,15741,517,3192,141433,3464,144897,6141,LDF,45.40742734494158,41.1692443597866,10.863578956086048,0.35680517885118396,2.3906637128442965,4.238182985154972
Kanhangad,Kasargode,84615,57476,21570,637,2537,162510,4325,166835,27139,LDF,50.71777504720233,34.450804687265865,12.928941768813498,0.38181436748883624,2.5923816944885667,16.266970359936465
Kasargode,Kasargode,28323,63296,50395,639,1847,143031,1469,144500,12901,UDF,19.600692041522493,43.80346020761245,34.87543252595155,0.4422145328719723,1.0166089965397924,8.9280276816609
Manjeswaram,Kasargode,40639,65758,65013,387,629,170301,2125,172426,745,UDF,23.56895131824667,38.136939904654746,37.70487049516894,0.22444410935705753,1.2324127451776414,0.4320694094858084
Trikkarippur,Kasargode,86151,60014,10961,558,2724,154533,5875,160408,26137,LDF,53.70742107625554,37.413345967782156,6.833200339135205,0.34786294947882895,3.6625355343873123,16.294075108473393
Uduma,Kasargode,78664,65342,20360,434,541,161785,3556,165341,13322,LDF,47.57682607459734,39.51953840850122,12.313945119480346,0.2624878281853866,2.1507067212609092,8.057287666096128
Chadayamangalam,Kollam,67252,53574,22238,685,3428,142285,4892,147177,13678,LDF,45.69463978746679,36.401068101673495,15.109697846810302,0.46542598367951515,3.323888922861588,9.293571685793296
Chathannur,Kollam,59296,34280,42090,642,1195,133823,3680,137503,17206,LDF,43.1234227616852,24.93036515566933,30.61024123110041,0.4668989040239122,2.6763052442492166,12.513181530584788
Chavara,Kollam,63282,62186,14211,701,2500,138418,4462,142880,1096,LDF,44.29031354983203,43.52323628219485,9.94610862262038,0.4906215005599104,3.1229003359462486,0.7670772676371781
Eravipuram,Kollam,71573,43452,8468,931,2817,124300,2941,127241,28121,LDF,56.249950880612374,34.14937009297317,6.655087589692002,0.731682397969208,2.3113619037888733,22.100580787639203
Karunagapally,Kollam,65017,94225,12144,450,1448,168376,4908,173284,29208,UDF,37.520486600032314,54.376053184367855,7.008148473026939,0.25968929618429865,2.832344590383417,16.85556658433554
Kollam,Kollam,58524,56452,14252,750,473,127155,3296,130451,2072,LDF,44.862822055791064,43.27448620554845,10.925174969912074,0.5749285172210256,2.5266191903473336,1.5883358502426197
Kottarakkara,Kollam,68770,57956,21223,574,1029,145013,4539,149552,10814,LDF,45.98400556328234,38.75307585321494,14.191050604472021,0.38381298812453196,3.035064726650262,7.230929710067402
Kundara,Kollam,71882,76405,6100,710,1304,152518,3883,156401,4523,UDF,45.96006419396295,48.85198943740769,3.900230816938511,0.45396129180759714,2.48272069871676,2.891925243444735
Kunnathur,Kollam,69436,66646,21760,922,2220,155299,5685,160984,2790,LDF,43.13223674402425,41.399145256671474,13.516871241862546,0.5727277244943597,3.5314068478855045,1.7330914873527805
Pathanapuram,Kollam,67276,52940,12398,474,3948,133075,3961,137036,14336,LDF,49.09366881695321,38.63218424355644,9.047257654922793,0.34589450947196354,2.8904813333722528,10.461484573396772
Punalur,Kollam,80428,43371,20069,688,1695,142770,3481,146251,37057,LDF,54.99312825211452,29.655181844910462,13.722299334705404,0.4704241338520762,2.380154665609124,25.337946407204054
Changanasseri,Kottayam,55425,49366,14491,434,3869,120562,3023,123585,6059,LDF,44.84767568879718,39.94497714123882,11.725533033944249,0.3511753044463325,2.446089735809362,4.902698547558361
Ettumanoor,Kottayam,58289,43986,13746,780,9366,122493,3674,126167,14303,LDF,46.1998779395563,34.86331608106716,10.895083500439894,0.6182282213257032,2.9120134425008124,11.336561858489146
Kaduthuruthy,Kottayam,55410,59666,11670,731,3934,127682,3729,131411,4256,UDF,42.16541994201399,45.40411381086819,8.880535115020812,0.5562700230574305,2.8376619917662906,3.2386938688542055
Kanjirapally,Kottayam,60299,46596,29157,624,1027,134649,3054,137703,13703,LDF,43.78916944438393,33.8380427441668,21.173830635498135,0.45314916886342343,2.217816605302717,9.951126700217133
Kottayam,Kottayam,46658,65401,8611,473,595,119837,1901,121738,18743,UDF,38.326570175294485,53.7227488540965,7.073387110023164,0.3885393221508486,1.5615502143948479,15.396178678802016
Pala,Kottayam,54426,69804,10869,604,2728,134122,4309,138431,15378,UDF,39.316338103459486,50.42512154069536,7.851565039622628,0.43631845468139363,3.112742088116101,11.108783437235878
Poonjar,Kottayam,58668,34633,2965,345,43283,137032,2862,139894,24035,LDF,41.93746693925401,24.75660142679457,2.1194618782792687,0.24661529443721675,2.0458347034183024,17.180865512459434
Puthupalli,Kottayam,54328,63372,11694,497,1906,128843,2954,131797,9044,UDF,41.220968610818154,48.083036791429244,8.87273610173221,0.37709507803667763,2.2413256750912387,6.862068180611091
Vaikom,Kottayam,71388,42266,11953,670,1299,124201,3375,127576,29122,LDF,55.957233335423595,33.13005580987019,9.369317112936603,0.5251771493070797,2.645481908822976,22.827177525553395
Vadakara,Kozhikode,57602,65093,10225,353,3400,132822,3851,136673,7491,UDF,42.145851777600555,47.62681729383272,7.481360619873713,0.25828071382057904,2.8176743028981583,5.480965516232175
Balusseri,Kozhikode,91839,71467,16490,431,1727,175852,6102,181954,20372,LDF,50.47374611165459,39.27750970025391,9.062730140584984,0.23687305582729704,3.3535948646361167,11.196236411400683
Beypore,Kozhikode,82165,53418,26267,621,2739,162216,2994,165210,28747,LDF,49.733672295865865,32.333393862357,15.899158646571031,0.37588523697112763,1.8122389685854365,17.400278433508866
Elathur,Kozhikode,83639,45137,32010,984,2580,158703,5647,164350,38502,LDF,50.890781867964705,27.463948889564954,19.47672649832674,0.5987222391238212,3.4359598418010346,23.426832978399755
Koduvally,Kozhikode,65992,72336,9498,269,3059,146783,4371,151154,6344,UDF,43.65878508011697,47.855829154372366,6.283657726557021,0.1779641954562896,2.891752781931011,4.197044074255396
Kozhikode North,Kozhikode,59124,46196,30952,516,774,133603,3959,137562,12928,LDF,42.97989270292668,33.58194850322037,22.500399819717654,0.3751035896541196,2.8779750221718206,9.397944199706314
Kozhikode South,Kozhikode,52557,40098,24873,603,923,116769,2285,119054,12459,LDF,44.14551380046029,33.68051472441077,20.892200178070457,0.5064928519831337,1.9192971256740639,10.464999076049523
Kunnamangalam,Kozhikode,85138,74862,27672,864,5286,188541,5281,193822,10276,LDF,43.92587012826201,38.624098399562484,14.277017056887248,0.4457698300502523,2.724664898721507,5.301771728699529
Kuttiady,Kozhikode,80143,79810,9139,296,391,164400,5379,169779,333,LDF,47.20430677527845,47.00816944380636,5.382880097067364,0.17434429464185794,3.168236354319439,0.1961373314720902
Nadapuram,Kozhikode,83293,79258,10537,316,2099,170374,5129,175503,4035,LDF,47.4595875853974,45.16048158720933,6.003885973459143,0.18005390221249779,2.9224571659743708,2.299105998188065
Perambra,Kozhikode,86023,63431,11165,458,2660,158120,5617,163737,22592,LDF,52.53730067119833,38.739564056993835,6.818861955452952,0.27971686301813276,3.430501352779152,13.797736614204487
Quilandy,Kozhikode,75628,67156,17555,492,1253,158155,3929,162084,8472,LDF,46.65975666938131,41.43283729424249,10.830803780755657,0.3035463093210928,2.424051726265393,5.226919375138817
Thiruvambadi,Kozhikode,67867,63224,7794,419,3705,139133,3876,143009,4643,LDF,47.456453789621634,44.20980497730912,5.450006642938556,0.29298855316798245,2.710318930976372,3.2466488123125115
Eranadu,Malappuram,55530,78076,6683,636,2347,139609,3663,143272,22546,UDF,38.75844547434251,54.494946674856216,4.664554134792563,0.44391088279635943,2.5566754145960133,15.736501200513707
Kondotty,Malappuram,65093,82759,11114,554,4625,161251,2894,164145,17666,UDF,39.655792135002585,50.41822778640835,6.770842852356148,0.33750647293551433,1.7630753297389505,10.762435651405768
Kottakkal,Malappuram,65112,81700,10796,668,1657,156638,3295,159933,16588,UDF,40.71204817017126,51.083891379515165,6.750326699305334,0.41767490136494656,2.060237724547154,10.371843209343913
Malappuram,Malappuram,57958,93166,5883,994,3824,158740,3085,161825,35208,UDF,35.81523250424842,57.57206859261548,3.6354086204232963,0.6142437818631237,1.9063803491425921,21.756836088367063
Manjeri,Malappuram,64263,78836,11350,1202,1341,153812,3180,156992,14573,UDF,40.93393293925805,50.21657154504688,7.229667753770892,0.7656441092539747,2.0255809213208313,9.282638605788831
Mankada,Malappuram,76985,83231,6641,599,812,164441,3827,168268,6246,UDF,45.75142035324601,49.463356074833,3.9466802957187346,0.355979746594718,2.274348063802981,3.7119357215869924
Nilambur,Malappuram,81227,78527,8595,507,4349,169461,3744,173205,2700,LDF,46.89645218094166,45.337605727317346,4.962327877370746,0.29271672295834417,2.1616004156923876,1.558846453624318
Perinthalmanna,Malappuram,76492,76530,8021,867,3706,162706,2910,165616,38,UDF,46.18635880591247,46.20930344894213,4.843131098444594,0.5235001449135349,1.7570766109554632,0.02294464302965897
Ponnani,Malappuram,74668,57625,7419,467,5243,142941,2481,145422,17043,LDF,51.34573860901377,39.62605382954436,5.101704006271404,0.32113435381166533,1.7060692329908818,11.719684779469407
Tanur,Malappuram,70704,69719,10590,336,1221,150345,2225,152570,985,LDF,46.3420069476306,45.69640165170086,6.9410762273055,0.22022678114963623,1.4583469882676805,0.6456052959297371
Thavanur,Malappuram,70358,67794,9914,478,2882,148763,2663,151426,2564,LDF,46.463619193533475,44.77038289329441,6.547092309114682,0.3156657377200745,1.7586147689300384,1.6932363002390607
Tirur,Malappuram,75100,82314,9097,417,3814,167979,2763,170742,7214,UDF,43.984491220672126,48.20957936535826,5.3279216595799515,0.24422813367536983,1.6182310152159398,4.225088144686135
Tirurangadi,Malappuram,63921,73499,8314,721,1316,145878,1893,147771,9578,UDF,43.25679598838744,49.73844665056066,5.626273084705389,0.4879171149954998,1.281036197900806,6.4816506621732275
Vallikkunnu,Malappuram,57707,71823,19853,1150,881,148033,3381,151414,14116,UDF,38.11206361366848,47.4348475041938,13.11173339321331,0.7595070469045134,2.2329507178992696,9.322783890525315
Vengara,Malappuram,39785,70381,5968,787,14630,129511,2040,131551,30596,UDF,30.243023618216508,53.50092359617182,4.5366435830970495,0.5982470676771746,1.5507293749192328,23.25789997795532
Wandoor,Malappuram,71852,87415,7057,664,2943,166756,3175,169931,15563,UDF,42.28304429444892,51.44146741912894,4.152862044006097,0.3907468325379125,1.868405411608241,9.158423124680017
Alathur,Palakkad,74653,40535,18349,783,1046,132616,2750,135366,34118,LDF,55.1490034425188,29.944742402080287,13.555102462952293,0.578431807100749,2.0315293352836017,25.204261040438514
Chittur,Palakkad,84672,50794,14458,1285,1696,149745,3160,152905,33878,LDF,55.375559988227984,33.21931918511494,9.455544292207579,0.8403910925084203,2.0666426866354928,22.156240803113043
Kongad,Palakkad,67881,40662,27661,953,1351,136205,2303,138508,27219,LDF,49.00872151789066,29.357149045542496,19.970687613711842,0.6880468998180611,1.662719842897161,19.651572472348168
Malambuzha,Palakkad,75934,35444,50200,1054,973,160011,3594,163605,25734,LDF,46.413006937440784,21.664374560679686,30.683658812383484,0.6442345894074142,2.196754377922435,15.729348125057301
Mannarkkadu,Palakkad,65787,71657,10376,760,3522,149538,2564,152102,5870,UDF,43.251896753494364,47.11114909731627,6.821738044207176,0.4996646986890376,1.6857109045245955,3.859252343821909
Nenmara,Palakkad,80145,51441,16666,1070,2213,147958,3577,151535,28704,LDF,52.888771570924206,33.946612993697826,10.998119246378725,0.7061074999175108,2.360510773088725,18.942158577226383
Ottappalam,Palakkad,74859,59707,25056,867,672,157398,3763,161161,15152,LDF,46.449823468457005,37.04804512257928,15.547185733521138,0.5379713454247615,2.334932148596745,9.401778345877725
Palakkad,Palakkad,36433,54079,50220,528,844,139192,2912,142104,3859,UDF,25.63826493272533,38.05593086753364,35.340314136125656,0.3715588583009627,2.0492034003265216,2.715616731407983
Pattambi,Palakkad,75311,57337,14578,390,4293,149076,2833,151909,17974,LDF,49.57639112889954,37.74430744722169,9.596534767525295,0.25673264915179483,1.8649322949923968,11.832083681677846
Shornur,Palakkad,74400,37726,36973,678,2134,148683,3228,151911,36674,LDF,48.976045184351364,24.834277965387628,24.338592991949234,0.4463139601477181,2.1249284120307284,24.141767218963736
Tarur,Palakkad,67744,43213,18465,940,985,128952,2395,131347,24531,LDF,51.57635880530199,32.8998759012387,14.058181762811483,0.7156615682124449,1.8234143147540485,18.67648290406328
Thritthala,Palakkad,69814,66798,12851,427,2421,149547,2764,152311,3016,LDF,45.83647930878269,43.85632029203406,8.437342017319825,0.2803474469998884,1.814708064420823,1.9801590167486263
Adoor,Pathanamthitta,66569,63650,23980,594,618,149921,5490,155411,2919,LDF,42.83416231798264,40.95591689133974,15.43005321373648,0.38221232731273846,3.5325684797086434,1.8782454266429018
Aranmula,Pathanamthitta,74950,55947,29099,575,1295,155370,6496,161866,19003,LDF,46.30373271718582,34.56377497436151,17.9772157216463,0.3552321055688038,4.013196100478173,11.739957742824311
Konni,Pathanamthitta,62318,53810,32811,372,411,144793,4929,149722,8508,LDF,41.62247365116683,35.93994202588798,21.914615086627215,0.24846048008976637,3.2921013611894043,5.68253162527885
Ranni,Pathanamthitta,52669,51384,19587,431,3706,123598,4179,127777,1285,LDF,41.2194682924157,40.213809997104335,15.329049828998958,0.3373064009954843,3.2705416467752415,1.0056582953113629
Thiruvalla,Pathanamthitta,62178,50757,22674,608,3327,134466,5078,139544,11421,LDF,44.557988878059966,36.37347359972482,16.248638422289744,0.43570486728200425,3.6389955856217395,8.184515278335148
Aruvikkara,Thiruvananthapuram,66776,61730,15379,900,923,141521,4187,145708,5046,LDF,45.82864358854696,42.36555302385593,10.554670985807231,0.6176737035715266,2.8735553298377576,3.4630905646910257
Attingal,Thiruvananthapuram,69898,36938,38262,1071,1457,142566,5060,147626,31636,LDF,47.34802812512701,25.02133770474036,25.918198691287444,0.7254819611721512,3.4275805074986794,21.42982943383957
Chirayattinkeezhu,Thiruvananthapuram,62634,48617,30986,758,2085,141273,3807,145080,14017,LDF,43.17204301075269,33.51047697821891,21.35787151916184,0.5224703611800386,2.6240694789081886,9.661566032533775
Kattakkada,Thiruvananthapuram,66293,43062,34542,699,1023,141328,4291,145619,23231,LDF,45.524965835502236,29.57169050742005,23.72080566409603,0.480019777638907,2.946730852429971,15.953275328082187
Kazhakkoottam,Thiruvananthapuram,63690,32995,40193,668,779,135293,3032,138325,30695,LDF,46.04373757455269,23.85324417133562,29.056931140430148,0.4829206578709561,2.191939273450208,22.19049340321706
Kovalam,Thiruvananthapuram,63306,74868,18664,773,1489,154729,4371,159100,11562,UDF,39.79006913890635,47.057196731615335,11.730986800754243,0.48585795097423007,2.74732872407291,7.267127592708988
Nedumangad,Thiruvananthapuram,72742,49433,26861,917,3049,148255,4747,153002,23309,LDF,47.54316937033502,32.30872799048378,17.555979660396595,0.5993385707376374,3.102573822564411,15.234441379851244
Nemom,Thiruvananthapuram,55837,36524,51888,756,1012,142582,3435,146017,3949,LDF,38.240067937294974,25.013525822335758,35.535588321907724,0.5177479334598026,2.3524658087756904,2.7044796153872492
Neyyattinkara,Thiruvananthapuram,65497,51235,21009,907,643,134789,4502,139291,14262,LDF,47.02170276615144,36.78270670754033,15.08281224199697,0.6511547766905256,3.2320824748189043,10.238996058611109
Parassala,Thiruvananthapuram,78548,52720,29850,630,1342,158727,4363,163090,25828,LDF,48.16236433870869,32.32570973082347,18.302777607456004,0.3862897786498253,2.675210006744742,15.836654607885217
Thiruvananthapuram,Thiruvananthapuram,48748,41659,34996,1054,1779,125900,2336,128236,7089,LDF,38.0142861598927,32.48619732368446,27.290308493714715,0.821922081162856,1.821641348763218,5.528088836208242
Vamanapuram,Thiruvananthapuram,73137,62895,5603,716,4174,141815,4710,146525,10242,LDF,49.91434908718649,42.9244156287323,3.8239208326224197,0.48865381334243296,3.2144685207302506,6.989933458454188
Varkala,Thiruvananthapuram,68816,50995,11214,815,3389,131784,3445,135229,17821,LDF,50.888492852864395,37.71010655998344,8.292599960067736,0.6026813775151779,2.5475304853248932,13.178386292880964
Vattiyoorkkavu,Thiruvananthapuram,61111,35455,39596,854,620,133500,4136,137636,21515,LDF,44.400447557325116,25.759975587782268,28.768636112644945,0.6204772007323665,3.00502775436659,15.63181144468017
Chalakkudi,Thrissur,60831,61888,17301,1000,2134,140012,3142,143154,1057,UDF,42.493398717465105,43.23176439359012,12.085586151976194,0.6985484163907401,2.194839124299705,0.7383656761250122
Chelakkara,Thrissur,83415,44015,24045,720,1120,150570,2745,153315,39400,LDF,54.40759221211232,28.7088673645762,15.683396927893552,0.4696213677722336,1.7904314646316408,25.69872484753612
Guruvayoor,Thrissur,77072,58804,6294,1007,3582,144729,2030,146759,18268,LDF,52.51602968131426,40.06841147731996,4.288663727607847,0.6861589408486022,1.3832201091585525,12.447618203994304
Irinjalakkuda,Thrissur,62493,56544,34329,590,1223,151104,4075,155179,5949,LDF,40.27155736278749,36.437920079392185,22.122194369083445,0.38020608458618754,2.62599965201477,3.8336372833953045
Kaipamangalam,Thrissur,73161,50463,9066,466,2927,133413,2670,136083,22698,LDF,53.76204228301845,37.082515817552526,6.662110623663499,0.342438070883211,1.962037873944578,16.67952646546593
Kodungallur,Thrissur,71457,47564,28204,870,807,144695,4207,148902,23893,LDF,47.98928154087923,31.943157244362062,18.94131710789647,0.5842769069589394,2.8253482156048944,16.04612429651717
Kunnamkulam,Thrissur,75532,48901,27833,559,2006,151452,3379,154831,26631,LDF,48.78351234571888,31.58346842686542,17.976374240300714,0.36103881005741745,2.18237949764582,17.20004391885346
Manalur,Thrissur,78337,48461,36566,712,3426,162972,4530,167502,29876,LDF,46.76779978746522,28.931594846628695,21.830187102243556,0.42506955140834135,2.70444532005588,17.836204940836527
Nattika,Thrissur,72930,44499,33716,830,1579,150227,3327,153554,28431,LDF,47.494692420907306,28.97938184612579,21.95709652630345,0.5405264597470596,2.1666644958776717,18.51531057478151
Ollur,Thrissur,76657,55151,22295,827,1241,153563,2608,156171,21506,LDF,49.08529752642936,35.31449500867639,14.276017954677886,0.5295477393370088,1.6699643339672536,13.770802517752974
Puthukkad,Thrissur,73365,46012,34893,1069,944,151948,4335,156283,27353,LDF,46.94368549362375,29.44146196323337,22.32680457887294,0.684015535918814,2.7738141704472015,17.50222353039038
Thrissur,Thrissur,44263,43317,40457,723,477,125832,3405,129237,946,LDF,34.24947963818411,33.51749112096381,31.30450258053034,0.559437312843845,2.634694398662922,0.7319885172203007
Wadakkancheri,Thrissur,81026,65858,21747,842,388,165920,3941,169861,15168,LDF,47.70135581446006,38.77170156775246,12.802821130218236,0.4956994248238265,2.320132343504395,8.929654246707603
Kalpetta,Wayanad,64782,70252,14113,828,2234,149111,3098,152209,5470,UDF,42.561215171244804,46.15495798540165,9.272119257074154,0.543988857426302,2.0353592757327097,3.59374281415685
Mananthavadi,Wayanad,72536,63254,13142,797,2852,149053,3528,152581,9282,LDF,47.53933976052064,41.45601352724127,8.613130075173187,0.5223455082874014,2.3122144959070923,6.083326233279373
Sulthan Battheri,Wayanad,69255,81077,15198,1160,742,163574,3858,167432,11822,UDF,41.36306082469301,48.423837737111185,9.077117874719288,0.6928185770939844,2.3042190262315447,7.060776912418176
